document_path,data_ethics_human_embryonic_stem_cells,data_ethics_human_embryos,data_ethics_human_participants,data_ethics_human_interventions,data_ethics_clinical_study,data_ethics_human_cells_tissues,data_ethics_personal_data,data_ethics_personal_data_further_processing,data_ethics_personal_data_export_switzerland,data_ethics_personal_data_import_switzerland,data_ethics_personal_data_criminal,data_ethics_animals,data_ethics_activities_outside_switzerland,data_ethics_outside_countries_ethics_issues,data_ethics_local_resources,data_ethics_import_material,data_ethics_export_material,data_ethics_low_middle_income_countries,data_ethics_individuals_at_risk,data_ethics_environmental_harm,data_ethics_endangered_species,data_ethics_human_harm,data_ethics_artificial_intelligence,data_ethics_other_issues
raw/ORD_files/Explore/Kneib - 1st call/application/EPFL_Kneib.pdf,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Mieville - 2nd call/application/EPFL_MIEVILLE.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Modini - 2nd call/application/PSI_MODINI.pdf,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Rieckermann - 2nd call/application/EAWAG_RICKERMANN.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Riek - 1st call/application/ETHZ_RIEK.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
raw/ORD_files/Explore/Skaloud - 2nd call/application/EPFL_SKALOUD.pdf,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Bowden/application/ETHZ_Bowden.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Chapman/application/ETHZ_Chapman.pdf,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Fonti/application/WSL_FONTI.pdf,NA,No,No,NA,No,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA
raw/ORD_files/Explore/Ginzler/application/WSL_GINZLER.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Gugerli/application/WSL_GUGERLI.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Henne/application/S_Henne_EMPA_ORD2000055.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Hurni/application/WSL_HURNI.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Kahles/application/ETHZ_Kahles.pdf,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Paez/application/ETHZ_PAEZ.pdf,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
raw/ORD_files/Explore/Riba/application/EPFL_RIBA.pdf,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Schaffner/application/ETHZ_SCHAFFNER.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Schuler/application/EMPA_Schuler.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Tilley - 1st call/application/ETHZ_Tilley_1st_call.pdf,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
raw/ORD_files/Explore/Tilley - 2nd call/application/ETHZ_Tilley_2nd_call.pdf,NA,No,No,NA,No,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA
raw/ORD_files/Explore/Wang/application/EMPA_Wang.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Explore/Fantner 1st call/Application/EPFL_Fantner_1st_call.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No
raw/ORD_files/Explore/Fantner 2nd call/Application/EPFL_FANTNER_2nd_call.pdf,NA,No,No,NA,No,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,No
