fileName,name,contentUrl,encodingFormat
details.csv,details,https://raw.githubusercontent.com/openwashdata/details/main/inst/extdata/details.csv,csv
ord_portal.csv,ord_portal,https://raw.githubusercontent.com/openwashdata/ord_portal/main/inst/extdata/ord_portal.csv,ooxml
outputs.csv,outputs,https://raw.githubusercontent.com/openwashdata/outputs/main/inst/extdata/outputs.csv,csv
proposals.csv,proposals,https://raw.githubusercontent.com/openwashdata/proposals/main/inst/extdata/proposals.csv,ooxml
details.xlsx,details,https://raw.githubusercontent.com/openwashdata/details/main/inst/extdata/details.xlsx,csv
ord_portal.xlsx,ord_portal,https://raw.githubusercontent.com/openwashdata/ord_portal/main/inst/extdata/ord_portal.xlsx,ooxml
outputs.xlsx,outputs,https://raw.githubusercontent.com/openwashdata/outputs/main/inst/extdata/outputs.xlsx,csv
proposals.xlsx,proposals,https://raw.githubusercontent.com/openwashdata/proposals/main/inst/extdata/proposals.xlsx,ooxml
