change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/MISHMASH,19,19,NA,Lina Kim,text
value_changed,project_title,CONTRIBUTE/MISHMASH,19,19,Project MiShMASh: Microbiome sequence and metadata standardization,MiShMASh: Microbiome sequence and metadata availability standards,text
value_changed,explore_call_number,CONTRIBUTE/MISHMASH,19,19,0.0,2.0,numeric
value_changed,function,CONTRIBUTE/MISHMASH,19,19,NA,Doctoral Candidate,text
value_changed,report,CONTRIBUTE/MISHMASH,19,19,other,Final,text
value_changed,project_starting_and_end_date,CONTRIBUTE/MISHMASH,19,19,NA,2023-01-01/2023-12-31,text
value_changed,laboratory_department,CONTRIBUTE/MISHMASH,19,19,Laboratory of Food Systems Biotechnology,Food Systems Biotechnology / Department of Health Sciences and Technology,text
value_changed,explore_call_number,EXPLORE/DCSM,46,46,1.0,0.0,numeric
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/GRAND TOUR,16,16,NA,Marco Hutter,text
value_changed,project_title,CONTRIBUTE/GRAND TOUR,16,16,Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics,Fostering Research on Mobile Robotics with High-Quality Data and Open Tooling,text
value_changed,explore_call_number,CONTRIBUTE/GRAND TOUR,16,16,0.0,6.0,numeric
value_changed,function,CONTRIBUTE/GRAND TOUR,16,16,NA,Principle Investigator,text
value_changed,report,CONTRIBUTE/GRAND TOUR,16,16,other,Final,text
value_changed,project_starting_and_end_date,CONTRIBUTE/GRAND TOUR,16,16,NA,2024-05-01/2025-04-30,text
value_changed,laboratory_department,CONTRIBUTE/GRAND TOUR,16,16,NA,"Robotics Systems Lab, D-MAVT",text
value_changed,institution_of_main_applicant,CONTRIBUTE/GRAND TOUR,16,16,NA,ETH Zurich,text
value_changed,reporting_period,CONTRIBUTE/PHENOMAST,24,24,2022-10-01/2023-09-30,NA,text
value_changed,reporting_period,CONTRIBUTE/OPENSENSE,23,23,2024-01-01/2024-12-31,NA,text
value_changed,project_title,ESTABLISH/PREMISE,42,42,Open and Reproducible Materials Science Research,PREMISE,text
value_changed,reporting_period,CONTRIBUTE/TREENETGAPS,35,35,2024-01-01/2024-12-31,NA,text
