project_id,cost_personnel_senior_staff_fr,cost_personnel_postdocs_fr,cost_personnel_other_fr,cost_personnel_students_fr,cost_travel_fr,cost_equipment_fr,cost_publication_fr,cost_social_fr,cost_other_fr,cost_subcontracting_fr
1,,,,,,,,,,
2,,,13500,,5600,,,4900,,6000
3,,,26905,,3000,,,,,
4,,106030,22000,,13970,,,6000,2000,
5,,,113400,,,600,,6000,,30000
